Linux 6.17.0-6-generic (Linux-coding-desktop) 	2025-10-31 	_x86_64_	(3 CPU)

03:21:35 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:21:45 PM  1000      5543      2.00      0.00  466260   69236   0.42  python3
03:21:55 PM  1000      5543      1.70      0.00  466260   69236   0.42  python3
03:22:05 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:22:15 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:22:25 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:22:35 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:22:45 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:22:55 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:23:05 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:23:15 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:23:25 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:23:35 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:23:45 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:23:55 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:24:05 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:24:15 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:24:25 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:24:35 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:24:45 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:24:55 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:25:05 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:25:15 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:25:25 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:25:35 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:25:45 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:25:55 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:26:05 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:26:15 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:26:25 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:26:35 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:26:45 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:26:55 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:27:05 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:27:15 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:27:25 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:27:35 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:27:45 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:27:55 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:28:05 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:28:15 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:28:25 PM  1000      5543      0.00      0.00  466260   69236   0.42  python3
03:28:35 PM  1000      5543     28.57      0.00  467204   70700   0.43  python3
03:28:45 PM  1000      5543      0.80      0.00  467336   70700   0.43  python3
03:28:55 PM  1000      5543      0.00      0.00  467336   70700   0.43  python3
03:29:05 PM  1000      5543     71.70      0.00  764932   74640   0.46  python3
03:29:15 PM  1000      5543      1.40      0.00  764932   74768   0.46  python3
03:29:25 PM  1000      5543      0.00      0.00  764932   74768   0.46  python3
03:29:35 PM  1000      5543      0.00      0.00  764932   74768   0.46  python3
03:29:45 PM  1000      5543      0.00      0.00  764932   74768   0.46  python3
03:29:55 PM  1000      5543      0.00      0.00  764932   74768   0.46  python3
03:30:05 PM  1000      5543      0.00      0.00  764932   74768   0.46  python3
03:30:15 PM  1000      5543      0.00      0.00  764932   74768   0.46  python3
03:30:25 PM  1000      5543      0.00      0.00  764932   74768   0.46  python3
03:30:35 PM  1000      5543      0.00      0.00  764932   74768   0.46  python3
03:30:45 PM  1000      5543      0.00      0.00  764932   74768   0.46  python3
03:30:55 PM  1000      5543      0.00      0.00  764932   74768   0.46  python3
03:31:05 PM  1000      5543      0.00      0.00  764932   74768   0.46  python3
03:31:15 PM  1000      5543      0.00      0.00  764932   74768   0.46  python3
03:31:25 PM  1000      5543      0.00      0.00  764932   74768   0.46  python3
03:31:35 PM  1000      5543      0.00      0.00  764932   74768   0.46  python3
03:31:45 PM  1000      5543      0.00      0.00  764932   74768   0.46  python3
03:31:55 PM  1000      5543      0.00      0.00  764932   74768   0.46  python3

Average:     1000      5543      1.71      0.00  553021   70911   0.43  python3
